date,lf,p_rate,u_rate
2021-01-01,16019.8,68.5,4.9
2021-02-01,16048.2,68.5,4.8
2021-03-01,16082.5,68.6,4.7
2021-04-01,16094.7,68.6,4.6
2021-05-01,16098.9,68.5,4.5
2021-06-01,16066.2,68.3,4.8
2021-07-01,16072.9,68.3,4.8
2021-08-01,16125.4,68.4,4.6
2021-09-01,16193.1,68.6,4.5
2021-10-01,16259.6,68.8,4.3
2021-11-01,16304.7,68.9,4.3
2021-12-01,16336.2,69.0,4.2
2022-01-01,16366.4,69.1,4.2
2022-02-01,16402.7,69.1,4.1
2022-03-01,16438.5,69.2,4.1
2022-04-01,16502.8,69.4,3.9
2022-05-01,16537.8,69.5,3.9
2022-06-01,16566.9,69.5,3.8
2022-07-01,16599.2,69.6,3.7
2022-08-01,16629.7,69.7,3.7
2022-09-01,16657.2,69.7,3.6
2022-10-01,16683.5,69.7,3.6
2022-11-01,16709.4,69.8,3.6
2022-12-01,16730.0,69.8,3.6
2023-01-01,16755.4,69.8,3.6
2023-02-01,16781.2,69.9,3.5
2023-03-01,16811.7,69.9,3.5
2023-04-01,16838.4,70.0,3.5
2023-05-01,16864.1,70.0,3.5
2023-06-01,16889.4,70.0,3.4
2023-07-01,16914.2,70.1,3.4
2023-08-01,16932.1,70.1,3.4
2023-09-01,16948.8,70.1,3.4
2023-10-01,16974.1,70.1,3.4
2023-11-01,17000.4,70.1,3.3
2023-12-01,17025.5,70.2,3.3
2024-01-01,16789.3,70.5,3.3
2024-02-01,16822.6,70.5,3.3
2024-03-01,16853.1,70.5,3.3
2024-04-01,16920.9,70.6,3.3
2024-05-01,16947.6,70.6,3.3
2024-06-01,16972.2,70.6,3.3
2024-07-01,16997.3,70.6,3.3
2024-08-01,17034.2,70.6,3.2
2024-09-01,17065.1,70.6,3.2
2024-10-01,17095.5,70.6,3.2
2024-11-01,17127.5,70.5,3.2
2024-12-01,17168.4,70.6,3.1
2025-01-01,17093.4,70.6,3.1
2025-02-01,17118.4,70.7,3.1
2025-03-01,17308.1,70.7,3.1
2025-04-01,17344.5,70.8,3.0
2025-05-01,17384.8,70.8,3.0
2025-06-01,17434.0,70.8,3.0
2025-07-01,17470.5,70.8,3.0
2025-08-01,17508.0,70.9,3.0
2025-09-01,17544.8,70.9,3.0
2025-10-01,17579.0,70.9,3.0
2025-11-01,17610.9,70.9,2.9
2025-12-01,17272.3,70.8,2.9
2026-01-01,17281.0,70.9,2.9
2026-02-01,17297.6,70.9,2.9
2026-03-01,17313.0,70.9,2.9
