date,unemployed,unemployed_active,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long,unemployed_inactive
2021-01-01,782.5,657.2,321.5,175.9,90.4,69.3,125.3
2021-02-01,777.5,647.4,327.8,155.5,91.0,73.1,130.1
2021-03-01,753.2,626.9,320.1,152.5,85.6,68.6,126.3
2021-04-01,742.7,618.7,322.6,151.0,80.7,64.4,124.0
2021-05-01,728.1,609.9,318.2,148.3,81.2,62.2,118.2
2021-06-01,768.7,642.9,335.9,157.4,86.7,62.9,118.2
2021-07-01,778.2,651.3,351.4,156.7,86.1,57.1,126.9
2021-08-01,748.8,627.5,337.3,153.6,80.1,56.5,121.3
2021-09-01,729.6,611.0,333.3,147.3,78.9,51.4,118.7
2021-10-01,705.0,589.5,327.3,142.3,74.0,45.9,115.4
2021-11-01,694.4,581.8,324.3,137.6,74.8,45.1,112.6
2021-12-01,687.6,576.5,322.3,136.5,74.1,43.5,111.1
2022-01-01,680.4,569.5,320.8,134.2,72.0,42.5,110.9
2022-02-01,671.8,562.5,318.7,131.8,71.0,41.0,109.3
2022-03-01,669.2,561.0,320.4,130.1,70.4,40.1,108.1
2022-04-01,649.3,542.9,315.3,124.3,64.9,38.4,106.4
2022-05-01,637.7,534.0,312.9,122.5,61.9,36.6,103.8
2022-06-01,630.6,528.5,311.6,120.6,61.3,35.0,102.1
2022-07-01,620.7,517.4,307.7,115.7,60.0,34.0,103.3
2022-08-01,612.0,507.3,304.2,110.7,59.7,32.7,104.7
2022-09-01,605.0,496.6,298.7,108.2,58.2,31.5,108.4
2022-10-01,602.0,491.3,297.1,106.4,57.0,30.8,110.7
2022-11-01,600.9,488.0,295.9,105.2,56.7,30.2,112.9
2022-12-01,599.6,484.2,294.7,103.9,55.7,29.9,115.4
2023-01-01,596.1,481.6,292.9,103.7,54.1,31.0,114.5
2023-02-01,591.9,475.5,290.3,102.4,52.9,30.0,116.4
2023-03-01,588.7,472.9,289.7,101.9,51.1,30.1,115.8
2023-04-01,586.9,471.9,288.7,101.8,50.5,30.8,115.1
2023-05-01,584.6,470.4,286.6,100.2,52.2,31.4,114.2
2023-06-01,581.7,466.9,285.2,99.6,51.3,30.8,114.8
2023-07-01,579.2,464.7,284.7,99.1,51.8,29.1,114.5
2023-08-01,577.3,462.1,283.9,98.5,51.1,28.6,115.2
2023-09-01,573.7,458.9,282.6,98.1,50.2,28.0,114.8
2023-10-01,570.9,457.2,281.5,97.3,49.8,28.6,113.8
2023-11-01,569.2,454.5,280.8,96.4,48.9,28.4,114.7
2023-12-01,567.8,453.6,280.2,96.0,48.6,28.8,114.2
2024-01-01,559.9,445.0,276.5,91.1,49.2,28.2,114.9
2024-02-01,556.9,442.9,276.2,90.7,48.7,27.2,114.1
2024-03-01,556.6,442.6,275.9,91.0,48.6,27.1,114.0
2024-04-01,556.5,442.7,275.8,90.6,48.3,28.0,113.8
2024-05-01,554.1,440.5,275.7,90.0,47.8,27.0,113.6
2024-06-01,553.7,440.2,275.5,89.8,47.7,27.2,113.5
2024-07-01,553.2,439.9,274.8,89.6,48.3,27.1,113.3
2024-08-01,551.4,437.9,273.5,89.3,48.0,27.2,113.5
2024-09-01,548.8,434.6,272.2,88.8,46.9,26.7,114.2
2024-10-01,545.7,432.3,271.5,87.8,46.0,26.9,113.4
2024-11-01,541.8,428.0,270.1,86.8,45.5,25.6,113.9
2024-12-01,538.5,425.7,269.9,86.2,45.2,24.5,112.8
2025-01-01,532.2,423.5,267.8,88.3,43.8,23.7,108.7
2025-02-01,530.2,421.7,266.9,87.6,44.5,22.7,108.5
2025-03-01,529.6,420.7,268.8,85.4,43.4,23.1,108.9
2025-04-01,525.9,418.6,268.6,84.9,42.9,22.2,107.2
2025-05-01,522.4,416.4,268.0,84.4,42.6,21.4,106.0
2025-06-01,518.7,414.4,267.3,84.2,42.2,20.8,104.3
2025-07-01,521.6,416.2,267.7,84.9,42.4,21.1,105.5
2025-08-01,520.0,414.9,267.5,84.7,41.9,20.8,105.1
2025-09-01,518.6,413.6,267.1,84.4,41.7,20.4,104.9
2025-10-01,518.9,413.8,266.9,84.7,41.6,20.6,105.1
2025-11-01,518.4,413.5,266.5,84.6,41.7,20.7,104.9
2025-12-01,508.0,405.5,259.9,83.5,42.1,20.1,102.4
2026-01-01,509.6,406.9,259.8,83.2,43.0,20.8,102.8
2026-02-01,506.8,404.7,259.4,83.0,42.5,19.8,102.1
2026-03-01,509.0,405.8,259.9,83.2,42.8,19.9,103.2
