variable,date,employed,employed_employer,employed_employee,employed_own_account,employed_unpaid_family
persons,2016-01-01,14188.7,449.0,10534.1,2570.3,597.1
persons,2016-02-01,14202.8,543.9,10582.3,2437.5,633.1
persons,2016-03-01,14187.5,539.4,10381.2,2660.3,619.7
persons,2016-04-01,14166.4,456.2,10280.6,2805.9,621.1
persons,2016-05-01,14217.7,532.0,10407.9,2573.1,687.1
persons,2016-06-01,14195.4,534.3,10535.6,2453.5,694.9
persons,2016-07-01,14217.1,427.2,10536.4,2605.4,643.8
persons,2016-08-01,14279.5,452.3,10719.5,2527.0,608.1
persons,2016-09-01,14234.6,460.7,10814.3,2331.0,643.6
persons,2016-10-01,14257.2,458.8,10719.6,2508.7,566.3
persons,2016-11-01,14316.0,466.6,10929.5,2311.2,609.9
persons,2016-12-01,14283.4,443.0,10865.9,2354.2,613.6
persons,2017-01-01,14405.2,550.0,10652.0,2548.6,616.2
persons,2017-02-01,14405.5,464.6,10677.2,2548.4,711.7
persons,2017-03-01,14405.5,575.4,10624.8,2630.1,591.4
persons,2017-04-01,14438.2,590.9,10525.1,2687.8,625.8
persons,2017-05-01,14465.3,637.9,10357.7,2736.1,722.8
persons,2017-06-01,14496.7,578.8,10745.8,2590.1,605.3
persons,2017-07-01,14512.9,549.2,10656.4,2734.8,557.0
persons,2017-08-01,14482.6,608.4,10703.7,2623.1,578.1
persons,2017-09-01,14538.1,646.0,10701.8,2554.6,641.9
persons,2017-10-01,14580.1,593.9,10949.6,2446.1,592.0
persons,2017-11-01,14571.1,401.7,10935.5,2709.4,532.3
persons,2017-12-01,14649.4,546.1,10982.5,2504.3,607.2
persons,2018-01-01,14709.5,533.0,10749.4,2757.7,630.3
persons,2018-02-01,14724.2,472.7,10746.4,2825.9,676.5
persons,2018-03-01,14714.5,493.9,10585.3,2920.7,732.6
persons,2018-04-01,14815.0,550.2,10832.6,2719.5,700.8
persons,2018-05-01,14860.2,517.2,10751.8,2880.6,703.0
persons,2018-06-01,14839.6,529.0,10823.6,2817.7,692.9
persons,2018-07-01,14904.0,518.2,10651.2,3012.8,700.2
persons,2018-08-01,14863.4,599.4,10758.4,2865.7,673.0
persons,2018-09-01,14924.7,639.1,10690.0,2907.8,689.6
persons,2018-10-01,14932.8,513.7,10764.5,2944.6,714.2
persons,2018-11-01,14930.0,545.8,10899.2,2836.9,659.4
persons,2018-12-01,14996.8,593.5,10811.7,2909.6,671.2
persons,2019-01-01,15013.4,570.4,10961.6,2823.0,637.7
persons,2019-02-01,15016.0,619.4,11098.6,2752.4,556.5
persons,2019-03-01,15025.9,560.0,11327.2,2574.5,573.6
persons,2019-04-01,15092.9,578.3,11156.7,2764.8,590.1
persons,2019-05-01,15111.9,597.9,11345.6,2640.8,538.2
persons,2019-06-01,15116.0,551.6,11243.3,2746.5,593.1
persons,2019-07-01,15188.9,541.6,11446.9,2654.0,537.2
persons,2019-08-01,15159.7,582.2,11235.5,2855.0,513.0
persons,2019-09-01,15238.9,510.8,11633.8,2500.3,584.8
persons,2019-10-01,15275.4,547.5,11659.3,2452.0,606.8
persons,2019-11-01,15323.0,527.6,11565.1,2679.8,542.5
persons,2019-12-01,15303.4,482.0,11563.4,2669.6,571.1
persons,2020-01-01,15299.4,552.3,11375.4,2757.1,632.8
