date,u_rate_15_30,national_rate
2021-01-01,9.2,4.9
2021-02-01,9.2,4.8
2021-03-01,9.3,4.7
2021-04-01,8.7,4.6
2021-05-01,9.2,4.5
2021-06-01,9.4,4.8
2021-07-01,8.5,4.8
2021-08-01,8.8,4.6
2021-09-01,8.5,4.5
2021-10-01,8.1,4.3
2021-11-01,8.2,4.3
2021-12-01,8.5,4.2
2022-01-01,8.3,4.2
2022-02-01,8.1,4.1
2022-03-01,8.0,4.1
2022-04-01,7.7,3.9
2022-05-01,7.4,3.9
2022-06-01,7.4,3.8
2022-07-01,7.4,3.7
2022-08-01,7.1,3.7
2022-09-01,7.1,3.6
2022-10-01,7.4,3.6
2022-11-01,7.0,3.6
2022-12-01,6.9,3.6
2023-01-01,7.0,3.6
2023-02-01,7.0,3.5
2023-03-01,7.1,3.5
2023-04-01,6.7,3.5
2023-05-01,7.0,3.5
2023-06-01,6.9,3.4
2023-07-01,6.8,3.4
2023-08-01,6.8,3.4
2023-09-01,6.7,3.4
2023-10-01,6.6,3.4
2023-11-01,6.5,3.3
2023-12-01,6.4,3.3
2024-01-01,6.9,3.3
2024-02-01,6.9,3.3
2024-03-01,6.9,3.3
2024-04-01,6.8,3.3
2024-05-01,6.7,3.3
2024-06-01,6.7,3.3
2024-07-01,6.6,3.3
2024-08-01,6.6,3.2
2024-09-01,6.4,3.2
2024-10-01,6.3,3.2
2024-11-01,6.3,3.2
2024-12-01,6.3,3.1
2025-01-01,6.4,3.1
2025-02-01,6.4,3.1
2025-03-01,6.3,3.1
2025-04-01,6.2,3.0
2025-05-01,6.2,3.0
2025-06-01,6.2,3.0
2025-07-01,6.2,3.0
2025-08-01,6.2,3.0
2025-09-01,6.2,3.0
2025-10-01,6.1,3.0
2025-11-01,6.1,2.9
2025-12-01,6.2,2.9
2026-01-01,6.2,2.9
2026-02-01,6.2,2.9
2026-03-01,6.2,2.9
