age_group,year,wage
15-19,2021,1437
15-19,2022,1452
15-19,2023,1529
15-19,2024,1650
20-24,2021,1434
20-24,2022,1491
20-24,2023,1593
20-24,2024,1699
25-29,2021,1656
25-29,2022,1909
25-29,2023,2076
25-29,2024,2095
30-34,2021,2417
30-34,2022,2564
30-34,2023,2702
30-34,2024,2850
35-39,2021,2791
35-39,2022,2956
35-39,2023,3119
35-39,2024,3188
40-44,2021,3154
40-44,2022,3330
40-44,2023,3381
40-44,2024,3481
45-49,2021,3005
45-49,2022,3198
45-49,2023,3387
45-49,2024,3427
50-54,2021,3045
50-54,2022,3132
50-54,2023,3161
50-54,2024,3140
55-59,2021,3002
55-59,2022,2930
55-59,2023,2937
55-59,2024,3140
60-64,2021,2037
60-64,2022,2135
60-64,2023,2320
60-64,2024,2489
